normalized_job_title,parent_uuid,title,job_code
head of information systems and data processing,bb4e5066e69e4228172b4850d2a920f4,Head of Information Systems and Data Processing,3161063d378eecc4581c5cdee46a2a6c
automatic data processing planner adp planner,b90ca4df5690002377a7b0f1f3d40781,Automatic Data Processing Planner (ADP Planner),a33662485eb4ad97096183db945308f4
clinical data coordinator,0b9dd32a367f4562ec77b993053d1910,Clinical Data Coordinator,34d80517fe3bc143f9fc850386b8ffd7
voice and data technician,325e2251e20170928426473156bd3c48,Voice and Data Technician,f2ecf36d7eb0a4225974fc6c4f48cfcb
data control assistant,1b7a3048ca875e752dbe1ec6368e2e9a,Data Control Assistant,7932d4705d002b47789c11edfaed685e
data processing clerk,bf88358c56bb6cbe7eabec38ae333d19,Data Processing Clerk,901740e84d1a4760e440b039adac9df2
data processing auxiliary equipment operator,16a750537ecaff343d0e1d9ab9f5f575,Data Processing Auxiliary Equipment Operator,16b49a63ac3fcb90356c30187110ed94
database modeler,596226d5f9ef63de41a852826d483d19,Database Modeler,45033f83b6e0309eca9bcd76917f15d0
geographic information systems data manager gis data manager,bab6b228ad976cd2624acbcfccb8ad9b,Geographic Information Systems Data Manager (GIS Data Manager),5e93fd1a58c8a67b295f69d87d1a940d
engineer system electronic data processing engineer system edp,ad7f545d458070129f3ced2d13467813,"Engineer, System Electronic Data Processing (Engineer, System EDP)",a2a9fbe67b4aa2b551ba0f3adac90a99
field artillery automated tactical data system specialist,89d82eabfbe83755f4435bc7fcc8d6af,Field Artillery Automated Tactical Data System Specialist,3ddea1b52e520996e4ec9fb70dc8b86b
data security administrator,7ef30a5b2e0ec04db4ad4d5b1d354c32,Data Security Administrator,edc64316da9707432443c7a4461abe6c
data miner,b90ca4df5690002377a7b0f1f3d40781,Data Miner,e49986dae76619a3941d280ee14d38ae
scientific database curator,c4a063266888b400e8bc2d29c4d56580,Scientific Database Curator,ccf2c4daae069f054cada4c911819a17
database software technician,b90ca4df5690002377a7b0f1f3d40781,Database Software Technician,2ca138b991c50dc6696238e5ad800142
