uuid,dem_education_level,dem_full_time_job,normalized_job_code
f6e7ee00-deac-0133-4de8-0a81e8b09a82,no,no,
54f0f1c0-dda1-0133-a559-0a81e8b09a82,high,yes,861a9b9151e11362eb3c77ca914172d0
83127080-da3d-0133-c74f-0a81e8b09a82,,no,
15626d40-db13-0133-ea5c-0a81e8b09a82,high,yes,049a3f3a2b5f85cb2971ba77ad66e10c
24954a70-db98-0133-4a64-0a81e8b09a82,high,yes,f4b2fb1aa40f661488e2782b6d57ad2f
28583060-dbe2-0133-ff9c-0a81e8b09a82,high,yes,27af8700f5577cec835acee2cb90a2ff
b50dbb80-da53-0133-8956-0a81e8b09a82,medium,no,
dd743bb0-d9a5-0133-53b2-0a81e8b09a82,medium,yes,c1b670eba9ccb65e7c99f7da116d5b9c
4fde2370-da48-0133-3a42-0a81e8b09a82,medium,yes,d71c4164c99a5f9bca773e755a72f40f
9949c4c0-da5f-0133-c832-0a81e8b09a82,no,no,
226cf850-db28-0133-c51a-0a81e8b09a82,high,yes,2ee80cf30e2483dfe0947adc0428f8c5
69f1f400-dc5f-0133-ad9b-0a81e8b09a82,medium,no,
2351fbe0-de4c-0133-0d58-0a81e8b09a82,low,yes,897ef18a9321616495831a4b4b0c1bb2
0f286c80-dd77-0133-7803-0a81e8b09a82,medium,no,
fe54f360-db27-0133-c444-0a81e8b09a82,medium,no,
960b1ce0-db01-0133-528c-0a81e8b09a82,medium,yes,a003702c0cea282e17967772dd83de5e
d7912480-da41-0133-5bc1-0a81e8b09a82,low,no,
d468c670-da40-0133-de39-0a81e8b09a82,high,no,
76767d10-dd6c-0133-f56d-0a81e8b09a82,low,no,
a96ed910-de55-0133-2582-0a81e8b09a82,medium,yes,04c82eae29e1c4a30eac0710b74ab276
68eace50-db46-0133-97f7-0a81e8b09a82,low,yes,fcaf4aac737e53ad24b9f32f08b8740f
aa342b50-dcc4-0133-f797-0a81e8b09a82,medium,yes,d71c4164c99a5f9bca773e755a72f40f
638a8b80-da45-0133-e8e1-0a81e8b09a82,no,no,
b1eb3870-decd-0133-d783-0a81e8b09a82,,yes,3833bd699e7afe4665b595f282da0387
1c8ea6b0-de3d-0133-605b-0a81e8b09a82,high,yes,19e384e977796c25780d8c28b12089c4
d31a5ea0-d969-0133-79f5-0a81e8b09a82,medium,no,
2c1d6730-d970-0133-9161-0a81e8b09a82,medium,yes,474b962c13632a04e42a546be4f11dbb
307ce090-daf9-0133-f4f2-0a81e8b09a82,low,no,
388a2f20-db3b-0133-570e-0a81e8b09a82,medium,no,
12cd5b70-dbd8-0133-0395-0a81e8b09a82,,yes,dac2e921c1f887d9efc4c06fa33c1397
684ad570-de3f-0133-705d-0a81e8b09a82,low,no,
4c7898b0-dbdf-0133-993b-0a81e8b09a82,high,yes,996da29c84f5eed00da40c230f4c4078
d911df50-d8f8-0133-b5b7-0a81e8b09a82,medium,no,
11c61a10-de3d-0133-6041-0a81e8b09a82,high,yes,fcaf4aac737e53ad24b9f32f08b8740f
ab8dbf10-da1c-0133-f11e-0a81e8b09a82,low,yes,d71c4164c99a5f9bca773e755a72f40f
d13a4420-dee8-0133-05e2-0a81e8b09a82,medium,yes,cc2b26cc436bea36bda3bdd7367c411a
9699d060-da5b-0133-0ae5-0a81e8b09a82,high,yes,25fe195cbf915c0824fa6c44e6d0008c
d30d1810-da47-0133-15c3-0a81e8b09a82,low,no,
9b532680-dc7d-0133-dcb5-0a81e8b09a82,low,yes,76385cb24e831b3364279b9de5641d8f
0a8ed740-de42-0133-f3a6-0a81e8b09a82,high,no,
8d6c0630-dc17-0133-c863-0a81e8b09a82,low,no,
1c4a0200-da22-0133-e797-0a81e8b09a82,medium,no,
896c8bd0-dcc3-0133-f1c3-0a81e8b09a82,low,yes,16b67d7f57698455aefbc1ae1b358b50
db1bf110-d8d7-0133-8ee6-0a81e8b09a82,high,no,
5441c1d0-d9a6-0133-55bc-0a81e8b09a82,high,yes,b24ece3300d2f8ab34f9553e531183d6
a332d3f0-d8c9-0133-a2e5-0a81e8b09a82,low,no,
581cec00-da3e-0133-cc6b-0a81e8b09a82,high,yes,5db2c8d6539f983e1ca3d7c5b939e190
cf24ed60-da3f-0133-0034-0a81e8b09a82,high,yes,861a9b9151e11362eb3c77ca914172d0
03d9e160-da33-0133-b694-0a81e8b09a82,medium,yes,36675c937946c8a4fc5de7d0b4c850de
c8ab8660-daf3-0133-b467-0a81e8b09a82,medium,no,
5fb8d530-d8c5-0133-bfb5-0a81e8b09a82,high,no,
3f32d3c0-dbd5-0133-e559-0a81e8b09a82,low,no,
c76aa3e0-dbf6-0133-0d62-0a81e8b09a82,,yes,847165cfda6b1dc82ae22b967da8af2f
2fe1bc10-d8e2-0133-b57f-0a81e8b09a82,low,yes,2ca138b991c50dc6696238e5ad800142
4cd8dfe0-d9a7-0133-5a1b-0a81e8b09a82,medium,no,
d4ac22b0-dd5d-0133-dd11-0a81e8b09a82,,no,
8c014b80-da49-0133-fd69-0a81e8b09a82,low,no,
0e383540-dad5-0133-3be7-0a81e8b09a82,,no,
e75d0b00-d9b1-0133-043b-0a81e8b09a82,medium,yes,16b67d7f57698455aefbc1ae1b358b50
9cd06680-da89-0133-519f-0a81e8b09a82,low,yes,36675c937946c8a4fc5de7d0b4c850de
b3fc91b0-db3a-0133-505a-0a81e8b09a82,high,no,
2eea8620-dbeb-0133-3910-0a81e8b09a82,low,yes,36675c937946c8a4fc5de7d0b4c850de
b8616bf0-dd85-0133-dabb-0a81e8b09a82,low,yes,cc2b26cc436bea36bda3bdd7367c411a
50e1e660-de3a-0133-589e-0a81e8b09a82,,no,
66867d70-de2e-0133-fd0b-0a81e8b09a82,low,no,
9567fd10-da36-0133-f91e-0a81e8b09a82,no,no,
e55a9780-d98f-0133-f7be-0a81e8b09a82,medium,no,
5eaadd90-da5a-0133-3d70-0a81e8b09a82,high,yes,fcaf4aac737e53ad24b9f32f08b8740f
ca3f65f0-d92b-0133-3959-0a81e8b09a82,medium,yes,049a3f3a2b5f85cb2971ba77ad66e10c
c8394f00-d9f4-0133-fe97-0a81e8b09a82,low,no,
dade6cd0-d9ff-0133-f2d6-0a81e8b09a82,medium,yes,775190277a849cba701b306a7b374c0a
437716a0-da35-0133-f2f5-0a81e8b09a82,low,yes,022d0e3a40aa3e29bca6851542b27842
8cc018b0-de4b-0133-0bcd-0a81e8b09a82,high,yes,375017ea3a1a97f5ea676def873bb25b
7c2e43a0-da1a-0133-acda-0a81e8b09a82,low,no,
b9dbcc80-da2b-0133-481e-0a81e8b09a82,medium,no,
89977480-d9bc-0133-b906-0a81e8b09a82,no,yes,1dd2fdc8a3981f2a1d8f0ca173952bb8
11cf6080-dc70-0133-8090-0a81e8b09a82,medium,yes,e605336f5a43949cb6b18054fd1937f1
6aa21d60-deec-0133-20b3-0a81e8b09a82,,no,
08159f30-dbf8-0133-74d8-0a81e8b09a82,low,yes,800b621aab5dac18f4caef621fa43a49
5f772780-dd7d-0133-5e86-0a81e8b09a82,high,no,
996a7cf0-d98b-0133-a5d7-0a81e8b09a82,high,no,
88d64de0-d9eb-0133-a46b-0a81e8b09a82,low,no,
d2a9a650-d964-0133-4678-0a81e8b09a82,medium,yes,d06dfb43c95b585a89ae556c9221b573
7a3932b0-da34-0133-8caf-0a81e8b09a82,high,no,
54fcb0f0-da1c-0133-efb9-0a81e8b09a82,low,yes,a12a16280e22220f9354333f6fe1b22a
