uuid,country_code,rural
f6e7ee00-deac-0133-4de8-0a81e8b09a82,AT,countryside
54f0f1c0-dda1-0133-a559-0a81e8b09a82,AT,urban
83127080-da3d-0133-c74f-0a81e8b09a82,AT,city
15626d40-db13-0133-ea5c-0a81e8b09a82,AT,Country
24954a70-db98-0133-4a64-0a81e8b09a82,AT,city
28583060-dbe2-0133-ff9c-0a81e8b09a82,AT,countryside
b50dbb80-da53-0133-8956-0a81e8b09a82,AT,urban
dd743bb0-d9a5-0133-53b2-0a81e8b09a82,AT,urban
4fde2370-da48-0133-3a42-0a81e8b09a82,AT,city
9949c4c0-da5f-0133-c832-0a81e8b09a82,AT,urban
226cf850-db28-0133-c51a-0a81e8b09a82,AT,urban
69f1f400-dc5f-0133-ad9b-0a81e8b09a82,AT,city
2351fbe0-de4c-0133-0d58-0a81e8b09a82,AT,urban
0f286c80-dd77-0133-7803-0a81e8b09a82,AT,rural
fe54f360-db27-0133-c444-0a81e8b09a82,AT,Country
960b1ce0-db01-0133-528c-0a81e8b09a82,AT,city
d7912480-da41-0133-5bc1-0a81e8b09a82,AT,rural
d468c670-da40-0133-de39-0a81e8b09a82,AT,Non-Rural
76767d10-dd6c-0133-f56d-0a81e8b09a82,AT,city
a96ed910-de55-0133-2582-0a81e8b09a82,AT,rural
68eace50-db46-0133-97f7-0a81e8b09a82,AT,city
aa342b50-dcc4-0133-f797-0a81e8b09a82,AT,city
638a8b80-da45-0133-e8e1-0a81e8b09a82,AT,urban
b1eb3870-decd-0133-d783-0a81e8b09a82,AT,rural
1c8ea6b0-de3d-0133-605b-0a81e8b09a82,AT,rural
d31a5ea0-d969-0133-79f5-0a81e8b09a82,AT,city
2c1d6730-d970-0133-9161-0a81e8b09a82,AT,rural
307ce090-daf9-0133-f4f2-0a81e8b09a82,AT,countryside
388a2f20-db3b-0133-570e-0a81e8b09a82,AT,rural
12cd5b70-dbd8-0133-0395-0a81e8b09a82,AT,Country
684ad570-de3f-0133-705d-0a81e8b09a82,AT,rural
4c7898b0-dbdf-0133-993b-0a81e8b09a82,AT,urban
d911df50-d8f8-0133-b5b7-0a81e8b09a82,AT,city
11c61a10-de3d-0133-6041-0a81e8b09a82,AT,city
ab8dbf10-da1c-0133-f11e-0a81e8b09a82,AT,countryside
d13a4420-dee8-0133-05e2-0a81e8b09a82,AT,countryside
9699d060-da5b-0133-0ae5-0a81e8b09a82,AT,Non-Rural
d30d1810-da47-0133-15c3-0a81e8b09a82,AT,rural
9b532680-dc7d-0133-dcb5-0a81e8b09a82,AT,countryside
0a8ed740-de42-0133-f3a6-0a81e8b09a82,AT,urban
8d6c0630-dc17-0133-c863-0a81e8b09a82,AT,rural
1c4a0200-da22-0133-e797-0a81e8b09a82,AT,city
896c8bd0-dcc3-0133-f1c3-0a81e8b09a82,AT,Country
db1bf110-d8d7-0133-8ee6-0a81e8b09a82,AT,rural
5441c1d0-d9a6-0133-55bc-0a81e8b09a82,AT,urban
