Country,Job Title,Age,Quantity,Percentage
United Kingdom,No Full-Time Job,43,27.0,0.61%
Germany,No Full-Time Job,19,27.0,0.61%
Germany,No Full-Time Job,18,26.0,0.59%
Germany,No Full-Time Job,17,26.0,0.59%
Germany,No Full-Time Job,16,25.0,0.57%
France,No Full-Time Job,20,25.0,0.57%
France,No Full-Time Job,40,25.0,0.57%
Spain,No Full-Time Job,41,25.0,0.57%
United Kingdom,No Full-Time Job,15,24.0,0.54%
Germany,No Full-Time Job,15,23.0,0.52%
France,No Full-Time Job,18,22.0,0.5%
Germany,No Full-Time Job,20,22.0,0.5%
Germany,No Full-Time Job,25,22.0,0.5%
Spain,No Full-Time Job,19,22.0,0.5%
Italy,No Full-Time Job,25,21.0,0.48%
Germany,No Full-Time Job,40,20.0,0.45%
Italy,No Full-Time Job,41,20.0,0.45%
Italy,No Full-Time Job,31,20.0,0.45%
United Kingdom,No Full-Time Job,19,19.0,0.43%
United Kingdom,No Full-Time Job,16,19.0,0.43%
France,No Full-Time Job,19,19.0,0.43%
United Kingdom,No Full-Time Job,18,18.0,0.41%
Poland,No Full-Time Job,18,18.0,0.41%
Spain,No Full-Time Job,40,18.0,0.41%
United Kingdom,No Full-Time Job,40,18.0,0.41%
United Kingdom,No Full-Time Job,41,18.0,0.41%
Poland,No Full-Time Job,19,18.0,0.41%
Italy,No Full-Time Job,22,18.0,0.41%
Italy,No Full-Time Job,29,17.0,0.38%
Spain,No Full-Time Job,44,17.0,0.38%
United Kingdom,No Full-Time Job,17,17.0,0.38%
France,No Full-Time Job,25,17.0,0.38%
United Kingdom,No Full-Time Job,53,16.0,0.36%
France,No Full-Time Job,45,16.0,0.36%
Spain,No Full-Time Job,43,16.0,0.36%
France,No Full-Time Job,43,16.0,0.36%
United Kingdom,No Full-Time Job,49,16.0,0.36%
Germany,No Full-Time Job,33,15.0,0.34%
Germany,No Full-Time Job,41,15.0,0.34%
Germany,No Full-Time Job,26,15.0,0.34%
France,No Full-Time Job,21,15.0,0.34%
Germany,No Full-Time Job,45,15.0,0.34%
Germany,No Full-Time Job,31,15.0,0.34%
Spain,No Full-Time Job,18,15.0,0.34%
